지역구분,작목군,작목,구분,값
강원,노지채소,노지대파,토지생산성,7056.0
강원,노지채소,노지대파,노동생산성,26795.0
강원,노지채소,노지대파,자본생산성,1.47
강원,노지채소,노지대파,kg당 경영비,393.0
강원,노지채소,노지대파,kg당 생산비,799.0
강원,노지채소,노지봄배추,총수입,2744113.0
강원,노지채소,노지봄배추,주산물가액,2744113.0
강원,노지채소,노지봄배추,주산물수량,7235.0
강원,노지채소,노지봄배추,수취가격,379.0
강원,노지채소,노지봄배추,종자·종묘비,53872.0
강원,노지채소,노지봄배추,보통(무기질)비료비,109359.0
강원,노지채소,노지봄배추,부산물(유기질)비료비,98725.0
강원,노지채소,노지봄배추,농약비,80873.0
강원,노지채소,노지봄배추,수도광열비,26651.0
강원,노지채소,노지봄배추,기타재료비,152440.0
강원,노지채소,노지봄배추,소농구비,0.0
강원,노지채소,노지봄배추,대농구상각비,103861.0
강원,노지채소,노지봄배추,영농시설상각비,75007.0
강원,노지채소,노지봄배추,수리·유지비,8346.0
강원,노지채소,노지봄배추,기타비용,0.0
강원,노지채소,노지봄배추,중간재비,709134.0
강원,노지채소,노지봄배추,농기계·시설임차료,3335.0
강원,노지채소,노지봄배추,토지임차료,74397.0
강원,노지채소,노지봄배추,위탁영농비,14914.0
강원,노지채소,노지봄배추,고용노동비,106003.0
강원,노지채소,노지봄배추,경영비,907783.0
강원,노지채소,노지봄배추,자가노동비,1066029.0
강원,노지채소,노지봄배추,유동자본용역비,6286.0
강원,노지채소,노지봄배추,고정자본용역비,30557.0
강원,노지채소,노지봄배추,토지자본용역비,99064.0
강원,노지채소,노지봄배추,생산비,2109719.0
강원,노지채소,노지봄배추,자가노동시간,50.0
강원,노지채소,노지봄배추,고용노동시간,8.0
강원,노지채소,노지봄배추,총노동시간,58.0
강원,노지채소,노지봄배추,소득,1836330.0
강원,노지채소,노지봄배추,소득률,66.9
강원,노지채소,노지봄배추,순수익,634394.0
강원,노지채소,노지봄배추,순수익율,23.1
강원,노지채소,노지봄배추,부가가치,2034979.0
강원,노지채소,노지봄배추,부가가치율,74.2
강원,노지채소,노지봄배추,토지생산성,6121.0
강원,노지채소,노지봄배추,노동생산성,31661.0
강원,노지채소,노지봄배추,자본생산성,2.02
강원,노지채소,노지봄배추,kg당 경영비,125.0
강원,노지채소,노지봄배추,kg당 생산비,292.0
강원,노지채소,노지양배추,총수입,2910333.0
강원,노지채소,노지양배추,주산물가액,2910333.0
강원,노지채소,노지양배추,주산물수량,6177.0
강원,노지채소,노지양배추,수취가격,471.0
강원,노지채소,노지양배추,종자·종묘비,90389.0
강원,노지채소,노지양배추,보통(무기질)비료비,155546.0
강원,노지채소,노지양배추,부산물(유기질)비료비,244474.0
강원,노지채소,노지양배추,농약비,181900.0
