지역구분,년,작목군,작목,구분,값
강원,2020,과수,토종다래,토지자본용역비,347099.0
강원,2020,과수,토종다래,부가가치,2537556.0
강원,2020,과수,토종다래,소득,1868280.0
강원,2020,과수,토종다래,고용노동단가(남),14583.0
강원,2020,과수,토종다래,고용노동단가(여),11389.0
강원,2020,과수,토종다래,자가노동단가(남),19548.0
강원,2020,과수,토종다래,자가노동단가(여),19548.0
강원,2020,과수,토종다래,총노동시간,226.7
강원,2020,과수,토종다래,자가노동시간,178.5
강원,2020,과수,토종다래,자가노동시간(남),131.8
강원,2020,과수,토종다래,자가노동시간(여),46.7
강원,2020,과수,토종다래,고용노동시간,48.2
강원,2020,과수,토종다래,고용노동시간(남),17.1
강원,2020,과수,토종다래,고용노동시간(여),31.2
강원,2020,과수,토종다래,소득률,36.9
강원,2020,과수,토종다래,순수익,-2236357.0
강원,2020,과수,토종다래,순수익율,-44.2
강원,2020,과수,토종다래,부가가치율,50.2
강원,2020,과수,토종다래,토지생산성,6228.0
강원,2020,과수,토종다래,노동생산성,8241.0
강원,2020,과수,토종다래,자본생산성,0.59
강원,2020,과수,토종다래,kg당 경영비,5995.0
강원,2020,과수,토종다래,kg당 생산비,13710.0
강원,2020,노지채소,노지가을무,총수입,2792480.0
강원,2020,노지채소,노지가을무,주산물가액,2790873.0
강원,2020,노지채소,노지가을무,부산물가액,1607.0
강원,2020,노지채소,노지가을무,주산물수량,3115.0
강원,2020,노지채소,노지가을무,수취가격,896.0
강원,2020,노지채소,노지가을무,생산비,1807366.0
강원,2020,노지채소,노지가을무,경영비,688608.0
강원,2020,노지채소,노지가을무,중간재비,515421.0
강원,2020,노지채소,노지가을무,보통(무기질)비료비,46214.0
강원,2020,노지채소,노지가을무,부산물(유기질)비료비,48232.0
강원,2020,노지채소,노지가을무,농약비,56292.0
강원,2020,노지채소,노지가을무,수도광열비,39853.0
강원,2020,노지채소,노지가을무,기타재료비,39797.0
강원,2020,노지채소,노지가을무,소농구비,664.0
강원,2020,노지채소,노지가을무,대농구상각비,203399.0
강원,2020,노지채소,노지가을무,영농시설상각비,38153.0
강원,2020,노지채소,노지가을무,수리·유지비,1429.0
강원,2020,노지채소,노지가을무,기타비용,2679.0
강원,2020,노지채소,노지가을무,농기계·시설임차료,4214.0
강원,2020,노지채소,노지가을무,토지임차료,58510.0
강원,2020,노지채소,노지가을무,위탁영농비,21429.0
강원,2020,노지채소,노지가을무,고용노동비,89036.0
강원,2020,노지채소,노지가을무,자가노동비,1008888.0
강원,2020,노지채소,노지가을무,유동자본용역비,3665.0
강원,2020,노지채소,노지가을무,고정자본용역비,30895.0
강원,2020,노지채소,노지가을무,토지자본용역비,75310.0
강원,2020,노지채소,노지가을무,부가가치,2277060.0
강원,2020,노지채소,노지가을무,소득,2103872.0
강원,2020,노지채소,노지가을무,종자·종묘비,38709.0
강원,2020,노지채소,노지가을무,고용노동단가(남),13750.0
강원,2020,노지채소,노지가을무,고용노동단가(여),10321.0
강원,2020,노지채소,노지가을무,자가노동단가(남),19548.0
강원,2020,노지채소,노지가을무,자가노동단가(여),19548.0
강원,2020,노지채소,노지가을무,총노동시간,59.6
강원,2020,노지채소,노지가을무,자가노동시간,51.6
강원,2020,노지채소,노지가을무,자가노동시간(남),40.0
강원,2020,노지채소,노지가을무,자가노동시간(여),11.7
강원,2020,노지채소,노지가을무,고용노동시간,8.0
강원,2020,노지채소,노지가을무,고용노동시간(남),1.6
강원,2020,노지채소,노지가을무,고용노동시간(여),6.4
강원,2020,노지채소,노지가을무,소득률,75.3
강원,2020,노지채소,노지가을무,순수익,985114.0
강원,2020,노지채소,노지가을무,순수익율,35.3
강원,2020,노지채소,노지가을무,부가가치율,81.5
강원,2020,노지채소,노지가을무,토지생산성,7013.0
강원,2020,노지채소,노지가을무,노동생산성,35300.0
강원,2020,노지채소,노지가을무,자본생산성,3.06
강원,2020,노지채소,노지가을무,kg당 경영비,221.0
강원,2020,노지채소,노지가을무,kg당 생산비,580.0
강원,2020,노지채소,노지가을배추,총수입,2753951.0
강원,2020,노지채소,노지가을배추,주산물가액,2753951.0
강원,2020,노지채소,노지가을배추,주산물수량,6600.0
강원,2020,노지채소,노지가을배추,수취가격,417.0
강원,2020,노지채소,노지가을배추,생산비,1612688.0
강원,2020,노지채소,노지가을배추,경영비,1008373.0
강원,2020,노지채소,노지가을배추,중간재비,669435.0
강원,2020,노지채소,노지가을배추,보통(무기질)비료비,88686.0
강원,2020,노지채소,노지가을배추,부산물(유기질)비료비,71447.0
강원,2020,노지채소,노지가을배추,농약비,69204.0
